datetime,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5,last_price,highest,lowest,open,close,average,volume,amount,open_interest,settlement,upper_limit,lower_limit,pre_open_interest,pre_settlement,pre_close,price_tick,price_decs,volume_multiple,max_limit_order_volume,max_market_order_volume,min_limit_order_volume,min_market_order_volume
2024-05-14 09:03:54.500000,23845,31,23840,13,23850,46,23835,41,23855,25,23830,55,23860,24,23825,30,23865,29,23820,28,23840,24025,23615,23650,,23884,98459,11757790625,76941,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:55.000000,23845,27,23840,19,23850,46,23835,41,23855,25,23830,55,23860,24,23825,30,23865,29,23820,28,23845,24025,23615,23650,,23884,98460,11757909850,76941,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:55.500000,23845,16,23840,20,23850,46,23835,41,23855,25,23830,55,23860,24,23825,30,23865,29,23820,28,23845,24025,23615,23650,,23884,98468,11758863600,76944,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:56.000000,23850,45,23845,12,23855,25,23840,21,23860,24,23835,41,23865,29,23830,55,23870,25,23825,30,23850,24025,23615,23650,,23884,98484,11760771225,76935,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:56.500000,23850,40,23845,4,23855,26,23840,27,23860,24,23835,42,23865,29,23830,54,23870,25,23825,30,23845,24025,23615,23650,,23884,98497,11762321150,76938,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:57.000000,23850,41,23845,1,23855,26,23840,27,23860,24,23835,42,23865,29,23830,54,23870,25,23825,30,23845,24025,23615,23650,,23884,98512,11764109500,76946,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:57.500000,23850,40,23840,27,23855,26,23835,42,23860,24,23830,54,23865,29,23825,30,23870,25,23820,26,23845,24025,23615,23650,,23884,98518,11764824850,76948,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:58.000000,23845,3,23840,25,23850,49,23835,43,23855,26,23830,54,23860,24,23825,30,23865,29,23820,28,23845,24025,23615,23650,,23884,98518,11764824850,76948,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:58.500000,23845,10,23840,25,23850,52,23835,44,23855,26,23830,54,23860,24,23825,30,23865,29,23820,28,23845,24025,23615,23650,,23884,98518,11764824850,76948,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:59.000000,23845,9,23840,22,23850,52,23835,44,23855,26,23830,54,23860,24,23825,30,23865,29,23820,28,23845,24025,23615,23650,,23884,98518,11764824850,76948,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:03:59.500000,23845,17,23840,19,23850,42,23835,44,23855,26,23830,54,23860,24,23825,30,23865,29,23820,28,23845,24025,23615,23650,,23884,98519,11764944075,76948,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:04:00.000000,23845,22,23840,19,23850,42,23835,44,23855,26,23830,54,23860,24,23825,30,23865,29,23820,28,23845,24025,23615,23650,,23884,98519,11764944075,76948,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:04:00.500000,23845,22,23840,17,23850,42,23835,44,23855,26,23830,54,23860,24,23825,30,23865,29,23820,28,23840,24025,23615,23650,,23884,98523,11765420875,76945,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:04:01.000000,23845,20,23840,18,23850,43,23835,44,23855,26,23830,54,23860,24,23825,30,23865,29,23820,28,23845,24025,23615,23650,,23884,98525,11765659325,76946,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
2024-05-14 09:04:01.500000,23850,43,23840,13,23855,26,23835,44,23860,24,23830,55,23865,29,23825,30,23870,25,23820,28,23845,24025,23615,23650,,23884,98562,11770070425,76923,,24830,22015,76206,23425,23535,5.0,0,5.0,500,0,0,0
