datetime,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5,last_price,highest,lowest,open,close,average,volume,amount,open_interest,settlement,upper_limit,lower_limit,pre_open_interest,pre_settlement,pre_close,price_tick,price_decs,volume_multiple,max_limit_order_volume,max_market_order_volume,min_limit_order_volume,min_market_order_volume
2024-05-13 13:49:45.000000,23500,12,23495,20,23505,41,23490,37,23510,24,23485,25,23515,42,23480,39,23520,66,23475,41,23495,23655,23255,23620,,23413,156233,18289797675,77452,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 13:49:45.500000,23500,25,23495,20,23505,41,23490,37,23510,24,23485,25,23515,42,23480,39,23520,66,23475,41,23495,23655,23255,23620,,23413,156233,18289797675,77452,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 13:49:46.000000,23500,25,23495,19,23505,41,23490,37,23510,24,23485,25,23515,42,23480,39,23520,66,23475,41,23495,23655,23255,23620,,23413,156233,18289797675,77452,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 13:49:46.500000,23500,26,23495,19,23505,41,23490,37,23510,24,23485,25,23515,42,23480,39,23520,66,23475,41,23495,23655,23255,23620,,23413,156233,18289797675,77452,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 13:49:47.500000,23500,27,23495,19,23505,41,23490,37,23510,24,23485,25,23515,42,23480,39,23520,66,23475,41,23495,23655,23255,23620,,23413,156233,18289797675,77452,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 13:49:48.000000,23500,30,23490,37,23505,41,23485,25,23510,24,23480,39,23515,42,23475,41,23520,66,23470,57,23495,23655,23255,23620,,23413,156248,18291559800,77449,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 13:49:48.500000,23495,21,23490,34,23500,35,23485,24,23505,43,23480,39,23510,25,23475,41,23515,42,23470,57,23495,23655,23255,23620,,23413,156248,18291559800,77449,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 13:49:49.000000,23495,23,23490,27,23500,41,23485,24,23505,45,23480,39,23510,25,23475,41,23515,43,23470,57,23495,23655,23255,23620,,23413,156248,18291559800,77449,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 13:49:49.500000,23495,23,23490,19,23500,41,23485,24,23505,45,23480,39,23510,25,23475,41,23515,43,23470,57,23495,23655,23255,23620,,23413,156248,18291559800,77449,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 13:49:50.000000,23495,23,23490,18,23500,41,23485,24,23505,45,23480,39,23510,25,23475,42,23515,43,23470,57,23495,23655,23255,23620,,23413,156248,18291559800,77449,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
