datetime,last_price,ask_price1,bid_price1
2024-05-10 11:18:48,23320,23320,23315
2024-05-10 11:18:52,23315,23320,23315
2024-05-10 11:18:53,23320,23320,23315
2024-05-10 11:18:55,23315,23320,23315
2024-05-10 11:18:58,23320,23320,23315
2024-05-10 11:19:04,23315,23320,23315
2024-05-10 11:19:11,23320,23320,23315
2024-05-10 11:19:27,23315,23320,23315
2024-05-10 11:19:39,23315,23315,23310
2024-05-10 11:19:42,23315,23320,23315
2024-05-10 11:19:44,23315,23315,23310
2024-05-10 11:19:46,23310,23315,23310
2024-05-10 11:19:47,23315,23315,23310
2024-05-10 11:19:53,23310,23315,23310
2024-05-10 11:20:01,23315,23315,23310
2024-05-10 11:20:04,23315,23320,23315
2024-05-10 11:20:06,23315,23315,23310
2024-05-10 11:20:08,23315,23320,23315
2024-05-10 11:20:09,23315,23315,23310
2024-05-10 11:20:12,23310,23315,23310
2024-05-10 11:20:27,23315,23315,23310
2024-05-10 11:20:28,23315,23320,23315
2024-05-10 11:20:29,23320,23320,23315
2024-05-10 11:20:29,23315,23315,23310
2024-05-10 11:20:31,23315,23320,23310
2024-05-10 11:20:31,23315,23320,23315
2024-05-10 11:20:37,23320,23320,23315
2024-05-10 11:20:49,23320,23325,23320
2024-05-10 11:21:22,23320,23320,23315
2024-05-10 11:21:24,23320,23325,23320
2024-05-10 11:21:31,23325,23330,23320
2024-05-10 11:21:32,23325,23330,23325
2024-05-10 11:21:38,23330,23330,23325
2024-05-10 11:21:47,23325,23330,23325
